id,name,category,location,price,open_time,close_time,description,amenities
1,강남 프리미엄 스튜디오,스튜디오,서울 강남구,30000,09:00,22:00,자연광이 풍부한 프리미엄 촬영 스튜디오입니다. 화이트톤 인테리어와 다양한 소품을 갖추고 있어 제품 및 인물 촬영에 적합합니다.,와이파이/주차/에어컨/냉장고/탈의실/거울
2,홍대 파티룸 플레이스,파티룸,서울 마포구,25000,12:00,24:00,다양한 파티 용품이 구비된 파티룸입니다. 생일파티 및 소모임에 적합합니다.,와이파이/에어컨/냉장고/블루투스스피커/파티용품
3,신촌 스터디 회의실,회의실,서울 서대문구,15000,09:00,22:00,조용하고 쾌적한 환경의 소규모 회의실입니다. 스터디 및 소규모 미팅에 적합합니다.,와이파이/에어컨/화이트보드/프로젝터
4,합정 댄스 연습실,연습실,서울 마포구,20000,09:00,23:00,방음 처리가 잘 된 넓은 댄스 연습실입니다. 거울 및 음향 장비가 구비되어 있습니다.,와이파이/에어컨/거울/음향장비/탈의실
5,건대 프라이빗 피트니스,운동시설,서울 광진구,20000,06:00,22:00,1인 전용 프라이빗 피트니스 공간입니다. 다양한 운동 기구가 구비되어 있습니다.,와이파이/에어컨/샤워실/운동기구/거울
6,성수 감성 스튜디오,스튜디오,서울 성동구,35000,10:00,22:00,빈티지 감성의 독특한 인테리어로 꾸며진 스튜디오입니다. 다양한 콘셉트 촬영이 가능합니다.,와이파이/에어컨/조명장비/분장대/소품
7,이태원 루프탑 파티룸,파티룸,서울 용산구,45000,14:00,24:00,야경이 아름다운 루프탑 파티룸입니다. 특별한 분위기의 파티를 즐길 수 있습니다.,와이파이/에어컨/냉장고/스피커/파티용품
8,종로 보컬 연습실,연습실,서울 종로구,15000,10:00,22:00,전문 방음 시설을 갖춘 보컬 연습실입니다. 마이크 및 음향 장비가 완비되어 있습니다.,와이파이/에어컨/방음/마이크/음향장비
9,강남 비즈니스 회의실,회의실,서울 강남구,25000,08:00,21:00,비즈니스 미팅에 최적화된 프리미엄 회의실입니다. 최대 10인 수용 가능합니다.,와이파이/주차/에어컨/화이트보드/프로젝터/냉장고
10,강남 프라이빗 파티룸,파티룸,서울 강남구,40000,12:00,24:00,고급스러운 인테리어의 프라이빗 파티룸입니다. 특별한 날을 위한 완벽한 공간입니다.,와이파이/주차/에어컨/냉장고/스피커/파티용품/빔프로젝터
11,홍대 미니 스튜디오,스튜디오,서울 마포구,20000,10:00,21:00,소규모 촬영에 최적화된 아담한 스튜디오입니다. 1인 또는 2인 촬영에 적합합니다.,와이파이/에어컨/거울/소품
12,종로 세미나실,회의실,서울 종로구,20000,09:00,20:00,강의 및 세미나 진행이 가능한 넓은 회의실입니다. 최대 20인 수용 가능합니다.,와이파이/에어컨/빔프로젝터/마이크/화이트보드
13,강남 요가 스튜디오,운동시설,서울 강남구,25000,07:00,21:00,넓고 쾌적한 요가 스튜디오입니다. 매트 및 요가 용품이 구비되어 있습니다.,와이파이/에어컨/샤워실/요가매트/거울
14,마포 필라테스 스튜디오,운동시설,서울 마포구,30000,07:00,21:00,전문 필라테스 기구가 구비된 스튜디오입니다. 개인 레슨 및 소그룹 수업에 적합합니다.,와이파이/에어컨/샤워실/필라테스기구/거울
15,홍대 다목적 연습실,연습실,서울 마포구,18000,09:00,23:00,댄스와 보컬 연습이 모두 가능한 다목적 연습실입니다.,와이파이/에어컨/거울/마이크/음향장비
16,이태원 루프탑 스튜디오,스튜디오,서울 용산구,40000,09:00,20:00,탁 트인 루프탑 공간에서 야외 분위기의 촬영이 가능한 스튜디오입니다.,와이파이/주차/에어컨/조명장비
17,신촌 소규모 파티룸,파티룸,서울 서대문구,20000,12:00,23:00,아늑한 분위기의 소규모 파티룸입니다. 친구들과의 소모임에 적합합니다.,와이파이/에어컨/냉장고/스피커
18,건대 소규모 회의실,회의실,서울 광진구,12000,09:00,22:00,편안한 분위기의 소규모 회의실입니다. 팀 프로젝트 및 스터디에 적합합니다.,와이파이/에어컨/화이트보드
19,종로 밴드 연습실,연습실,서울 종로구,30000,10:00,22:00,드럼 및 앰프가 구비된 밴드 연습실입니다. 완전 방음으로 마음껏 연습할 수 있습니다.,와이파이/에어컨/방음/드럼/앰프/마이크
20,용산 복합 운동시설,운동시설,서울 용산구,22000,06:00,22:00,다양한 운동이 가능한 복합 운동시설입니다. 웨이트 및 유산소 기구가 모두 구비되어 있습니다.,와이파이/주차/에어컨/샤워실/운동기구/거울
