[코스명 | 테마 | 예상 소요시간 | 명소 수 | 평점 | 한 줄 요약]

1. 도심 핵심 한바퀴 코스 | 당일치기 | 6시간 | 5곳 | 4.8 | 랜드마크 위주의 효율 동선
2. 바다 옆 느린 산책 | 힐링 | 5시간 | 4곳 | 4.9 | 전망대·해안로·미술관을 잇는 휴식 코스
3. 골목 미식 투어 | 미식 | 4시간 | 6곳 | 4.7 | 전통시장과 골목 식당가의 로컬 맛집
4. 도심 액티비티 데이 풀코스 | 액티비티 | 7시간 | 4곳 | 4.6 | 짚라인·클라이밍 등 짜릿한 하루
5. 야경 명소 코스 | 힐링 | 5시간 | 5곳 | 4.8 | 노을부터 도시의 밤까지
6. 전통시장 먹킷리스트 | 미식 | 6시간 | 7곳 | 4.7 | 시장 먹거리 완전정복
7. 숲속 힐링 데이 | 힐링 | 5시간 | 4곳 | 4.9 | 조용한 미술관과 산책로 중심
8. 강변 라이딩 코스 | 액티비티 | 6시간 | 5곳 | 4.5 | 자전거로 달리는 강변 코스
9. 알찬 종일 코스 | 당일치기 | 8시간 | 6곳 | 4.8 | 아침부터 저녁까지 도시를 알차게
10. 미식 + 야경 믹스 | 미식 | 6시간 | 6곳 | 4.6 | 맛집 투어 후 야경 타워로 마무리
11. 전망 좋은 힐링 | 힐링 | 4시간 | 5곳 | 4.7 | 전망 명소만 골라 담은 코스
12. 반나절 당일치기 | 당일치기 | 4시간 | 3곳 | 4.5 | 짧은 시간에 핵심만
